Title,Location,Company,Salary,Date,Description
Software Developer,"Tillsonburg, ON",Opid Technologies Incorporated,"$42,500 - $55,000 a year",20 days ago,"As a Web Application Developer, you will work closely with our team to develop real world solutions. You will primarily be focused on custom development for solutions that are web based, as well as android development as per project needs.Programming Experience in Java, JavaScript, Scala and web technologies such as React, React Native. Database design and structure will be important as well (MySQL, Postgres, MS SQL Server, etc).Ideally you are comfortable dealing with tight deadlines, customer service and are willing to learn and grow with our company. Further details will be provided to interested candidates.Job Types: Full-time, PermanentSalary: $42,500.00 to $55,000.00 /year"
Intermediate Software Developer (Core Products),"Vancouver, BC",One45,NaN,4 days ago,"one45 is a leader in cloud-based solution for medical education management in North America. We’re on a mission to change medical education for the better by making educators more proactive and effective at training the next generation of doctors and health-care professionals.Work somewhere incredibleAs a one45 full-stack developer you will be a member of an extremely passionate development team. We’re looking for a motivated and enthusiastic software developer to help drive the one45 platform into the next decade of medical education.You’ll be responsible for full stack development of new features and enhancements. You will be working alongside (and receiving mentorship from) experienced senior developers, having the opportunity to focus on the skills and responsibilities that interest you. This is a fantastic opportunity for someone to grow and expand their career while having fun with some of the brightest and most enthusiastic people the tech scene has to offer.Your responsibilitiesCreate high-quality codeWork with Product Management and Development in cross-functional, Agile teams to develop new product features and legacy system enhancements.Execute the full lifecycle of software development from initial solution design through development and testing to deployment.Write well designed (readable, maintainable, scalable, testable) code that meets our coding standards.Design test plans and develop automated tests.Spearhead the next generation of one45You will be initiating and leading one of one45’s largest projects: an overhaul and redesign of the front-end of our core product.Through research, experience, and experiments, recommend mobile compatible design solutions to implement the product designer’s recommendations.Develop and implement policies to strengthen and improve the quality of evolving code, making sure new front-end tools and practices are put in place and are being adopted by our culture.Train the padawansReview & test other developers code and provide feedback.Focus on self-improvement and productivity gains for yourself and others.Coach and mentor junior developers and co-op students, to help them become proficient, confident, increasingly independent, and happy to be on our team.Your qualificationsRequiredBachelor’s degree or equivalent in Computer Science or Software Engineering.4+ years experience with object oriented programming such as PHP (preferred), Java or PythonAt least 3 years of experience building and maintaining enterprise customer-facing productsExperience with a modern front-end JS framework for at least 2+ years (Angular, Node, React, Vue, etc) and comfortable working with responsive design.Strong front-end development skills: HTML5, CSS3, Javascript, Browser compatibilityDemonstrated knowledge of good software engineering practicesStrong written and verbal communication skills, sense of ownership, urgency and driveIn-depth experience with SQL and relational databases (MySQL, MS SQL, etc)You keep up with the latest software development practices/trends, you genuinely care about writing good code to solve problems, and you continually improve your skills to stay on top of your craft.Bonus experienceProfessional experience using PHP frameworks such as Laravel or Symfony.Strong UI/UX skill and understanding of UsabilityExperience with multiple modern front-end JS frameworksSOLID Development PrinciplesKnowledge of OWASP and security conscious developmentContinuous integration knowledge involving Jenkins or equivalent integration tools.Experience with REST API development, consumption and security.Site performance improvement and optimization knowledge.The perksAt one45, we thrive on shared values and a constant desire to delight our customers beyond their wildest expectations.BenefitsEmployers paid extended healthcare, MSP coverage, dental, and life insurance.Personal days and flexible hours.3-weeks paid vacation each year (increases yearly).Weekly personal 1:1s with a focus on developing your career in the direction you want to go.Fully stocked kitchen with limitless snacks, sodas, fruit, etc.Legendary summer and winter staff parties.Regular optional in-office team events (team lunches, hikes, yearly Vancouver Sun Run Team, etc).In-office beer/wine + games (darts, board games, etc) for those quiet Friday afternoons.Apply NowSound like a fit? If so, we want to hear from you.Shortlisted candidates will be contacted for next steps. No phone calls or agencies please."
PHP Full Stack Web Developer in Laval (Intermediate Level),"Laval, QC",SonixOs,NaN,10 days ago,"CompanySonixOS is a small software development company that has been around for 18 years now. We are looking to hire a programmer to work on our web based projects.Job summaryParticipate in the development of our research management application, develop new modules and tools, work on the change requests and support the customersWhat we expect from youSolid Knowledge of PHP, OOPKnowledge of LAMP technology stack (Linux Apache MySQL PHP)Understand MVC framework and experience with PHP MVC Framework (Yii)Strong skill of writing MySQL queries, designing & creating databasesKnowledge of HTML, CSS, JavaScript , jQuery, Ajax, Responsive web designExperience of designing, building and consuming web services and RESTful APIsKnowledge of version control (Git)Good programming style, strong analytical, problem solving skills, and secure code design to avoid common security issuesYou will definitely get our attention if you also have these ‘bonus’ skillsExperience with HTML5Used Redmine PM systemExperience with Redis or MongoDBWriting API documentationExperience with NodeJSRequirements of the PHP Backend Developer:5 years’ experience minimumWorking schedule:Flexible but in-house only.Salary:Depends on work experienceJob Type: Full-timeExperience:PHP: 3 years (Required)"
Programmer,"Brossard, QC",Coencorp,NaN,30+ days ago,"Under the supervision of the Team Leader, the candidate will be part of the company flagship software development team. The responsibilities will include design and development of the application using web and database technologies. Also, the candidate might have to develop applications for mobile platforms.Skills- must be bilingual (French and English) spoken and written- must have college or 1st cycle university education related to programming- knowledge of the Sql Server DBMS- knowledge of the C# programming language- knowledge of HTML 5, jQuery and CSS;- knowledge of the Xamarin mobile development platform is an asset- Autonomous, resourceful and rigorous- Good teamwork skillsSalaryTo be discussed according to experienceTo applyMake sure to include your coordinates so we can contact you.Only the candidates that make the short list will be contacted.Job Type: Full-timeEducation:DCS / DEC (Required)Language:English (Required)French (Required)"
Android Developer,"Montréal, QC",FantasySpin Games LLC,NaN,30+ days ago,"FantasySpin is hiring for a full-time Android Developer.FantasySpin is a fantasy sports game that combines the excitement of fantasy football, basketball, and baseball with the thrill of jackpot slot machines. We are a distributed company with offices in Boston, Dallas, and Montreal as well as team members across other parts of the US and Canada. Our concept is unique and has no been implemented before in the fantasy sports space and we are in the process of developing and growing the apps and the system overall.Your ResponsibilitiesDesigning, developing, and maintaining high-performance Android applications.Collaborate with cross-functional teams to define, design, and ship new features.Unit-test code for robustness, including edge cases, usability, and general reliability.Work on bug fixing and improving application performanceParticipating in team discussions and planning sessionsPushing yourself and team members to ensure that goals are metCollaborating with technical and non-technical team members answering any questions they may have.Continuously discover, evaluate, and implement new technologies to maximize development efficiency.Providing time estimates for your work and hit deadlines in an agile environment.Being excited to research and push new web technologies and experiences.Job RequirementsDeep familiarity with Java and Android APIsExperience building high-performance Android apps with animationsExperience with third-party libraries and APIsStrong Multi-platform and cross-browser development and debuggingKnowledge of Bash (or other preferred shell scripting language)Asset: Have published one or more Android apps in the app storeAsset: Linux / Unix / Mac OSX (command line and scripting)Asset: Git for revision controlFantasySpin is an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Job Type: Full-timeExperience:Java: 2 years (Preferred)Location:Montréal, QC (Preferred)"
Software Developer,"Waterloo, ON",Systematix Inc.,NaN,8 days ago,"Software DeveloperHome of Innovation, Reliability and Integrity!:Systematix is seeking an experienced Software Developer to join our innovative team. Your enthusiasm for bringing machines to life through inventive and effective programming is what makes you tick. You enjoy troubleshooting and unravelling the most challenging of puzzles and dilemmas. Your hands-on approach sets you apart from your colleagues.As a Software Developer at Systematix, your creativity and attention to detail enable you to develop complete and customized database and PC programming. Our accomplished team shares a passion for finding new ways of doing things and thrives on working together to solve problems. For 30 years, our three core values of Innovation, Reliability and Integrity have been the foundation for all the sophisticated automation projects we create. Come share your positive attitude and superior work ethic at Systematix.As a Systematix Software Developer, you will:Develop software that meets customer requirements, company and department standards and project-specific designsImprove operations by conducting systems analysis, recommending changes in policy and proceduresWork with the build team to provide technical guidance to meet project specificationsProduce detailed specification and write software codeTest software in controlled, real situations before going livePrepare training materials for end-usersMaintain internal systems and provide customer support for systemsTo excel and enjoy this job, you will need to have:Post-Secondary education in Information Technology or a related disciplineStrong, attention to detail, problem-solving and organizational skillsDatabase design and implementationProgramming using C++, VB, C# (.Net Framework), HTML, JavaScript, CSSExperience with SQL, PHP, Linux Shell, PowerShell and VMware (for test servers) will be a plusEffective in time management with the ability to prioritizeTechnical aptitude with the capacity to understand various aspects of automated machinerySome knowledge and practical experience in the following areas: programming PLCs and HMIs, Vision Systems, Industrial Networks, Machine SafetyResourceful with sound analytical skillsThe ability to work independently and collaboratively as part of a teamAbility to travel to international customer sites; have a valid passportA Rewarding Experience at SystematixIn recognition of your knowledge, skills and experience, Systematix offers a comprehensive compensation package that includes:FlextimeCompetitive salaryExcellent extended health benefits coveragePension planProfit-sharingService AwardsEmployee events and wellness initiativesHow to JoinIf this sounds like your next exciting career move and you would like to join the Systematix family, please submit your resume below.Systematix is an equal opportunity employer and is committed to promoting accessible recruitment. If you require accommodation for a disability, we will support you throughout all stages of the recruitment process."
"Full Stack Developer - C#, Java, PHP - South Shore, Montreal","Châteauguay, QC",Visual Knowledge Share ltd,NaN,9 days ago,"VKS is seeking a talented, passionate, roll-up-your-sleeves, hands-on Full Stack Developer.As a team member, you will participate in the creation and maintenance of various customer driven API integrations. You will be involved in projects from start to finish; from gathering requirements and formalizing them into detailed SOWs (Statements of work), to designing, implementing, deploying and supporting them. You will also be a part of a team working to develop, manage and architect scalable integration solutions that further VKS' strategic goals. The ideal candidate will also be a critical-thinking, self-starter who enjoys working in diverse technology environments. We have a passionate and dedicated team, and offer a respectful and healthy work environment.YOUR ROLEDesign and develop API integrations based on customer needs and preferences;Develop mapping of various source and target data types (database, flat file, JSON, XML) with various transport mechanisms (SQL, REST HTTPS, SOAP, etc.);Collaborate with customer success teams and developers on new customer set-ups;Organize and manage Customer meetings and expectations;Provide defect analysis and resolution support for system and user acceptance testing;Develop and maintain API specifications for various clients for process flows and API transactions;Support customers on the usage of the API;Create data extraction, cleansing and formatting scripts;Document custom logic specific for individual integrations;Develop and maintain a clean, efficient, secure, and well-engineered code that conforms with accepted standards;Build and maintain unit tests;Ensure that customer issues and technology failures are detected, isolated, and resolved rapidly, and prevented from happening again;Create and adhere to timelines for multiple projects and stakeholders.YOUR EXPERIENCEA Bachelor's degree in Computer Science or equivalent experience;2+ years of experience working with RESTful APIs;1+ year of experience working directly with customers and gathering requirements;Good knowledge of Linux (CentOS, Red Hat) and Windows;Expert level skills in C# and Java;Intermediate level skills in PHP, JavaScript, HTML, CSS;Experience working with different types of databases, such as MySQL, SQL Server, ElasticSearch, etc.;Experience working with API testing tools, like Postman;Experience working with SDKs and modern frameworks (and possibly even created your own);Expert knowledge of OpenAPI (3.x) and JSON Schemas;Significant Web design experience taking projects from concept to code to market (users);Experience with GitHub or equivalent source management system;Experience in data mapping and transformation using modern integration platforms;Strong organization skills and multi-tasking capability;Excellent verbal and written communication skills;Be fluent in English (French optional);Willing to travel.MODALITIESPosition: PermanentStart date: As soon as possibleIndemnities: To be discussedWork schedule: 40 hours/week, flexiblePlace of work: 1241 Cascades St., Chateauguay, Quebec, Canada J6J 4Z2Can’t wait to hear from youAvantages :Assurance maladie complémentaireAssurance visionAssurance invaliditéStationnement sur placeCongés de vacances et compensatoiresNourriture à prix réduit ou gratuiteProgramme d'aide aux employésCongé parentalAbonnement au gymÉvénements d'entrepriseProgrammes de bien-êtreTenue décontractéeTélétravailHoraires flexiblesAssurance vieAssurance dentaireJob Types: Full-time, Permanent"
Concepteur Logiciel / Software Developer,"Saint-Bruno-de-Montarville, QC",VPixx Technologies,NaN,30+ days ago,"VPixx Technologies, situé à Saint-Bruno-de-Montarville, est à la recherche d'un concepteur logiciel pour joindre son équipe de R&D. Sous la supervision du directeur de l’ingénierie, le candidat(e) aura le mandat de concevoir et de mettre en place la prochaine génération des interfaces produits de l’entreprise en travaillant en étroite collaboration avec les concepteurs de cartes électroniques.L'application GUI sera en mesure de contrôler des produits innovants comme un oculomètre, un projecteur à haut taux de rafraichissement (1440Hz) ainsi que des systèmes d'acquisition de données synchronisées. Vos compétences, votre créativité et vos efforts contribueront directement à l'avancement de la recherche en neurosciences dans le monde entier. Ce poste est situé à Saint-Bruno, sur la Rive-Sud de Montréal. L'espace de travail est moderne, ouvert, collaboratif et comporte de nombreuses fenêtres!VPixx Technologies is a creative Quebec-based high-technology company, specializing in the design and manufacturing of precision instrumentation used by top vision and neuroscience researchers around the world. We are currently seeking a Software Developer to join our innovative research and development team as we implement a new series of products. Working closely with our existing engineers and programmers, you will contribute to the design and coding of high-level GUI applications, as well as the supporting low-level C APIs and libraries.Your software will be controlling exciting hardware such as high speed eyetrackers, high frame rate projectors, and synchronized data acquisition systems. Your skill, creativity and effort will directly contribute to the advancement of neuroscience research around the world. This position is located in St. Bruno, on the South Shore of Montreal. The workspace is modern, open, collaborative, and has lots of windows!Required qualifications:Bachelor's Degree in Computing Science or related field3-5 years experience in software developmentExperience coding in Python and ANSI CMastery of Microsoft Visual StudioExperience coding elegant graphical user interfacesNice to have experience:QtMATLABLinux, Mac OS XData acquisitionAnglais / FrançaisConditions du poste:Poste permanentTemps plein (37.5h semaine)Avantages sociauxType d'emploi : Temps PleinFormation:Baccalauréat (Requis)"
iOS Mobile Developer,"Montréal, QC",Newforma Inc,NaN,30+ days ago,"iOS Mobile Developer (Montreal, QC)Canadian candidates must have permanent Canadian work authorization to be considered.Overview:Newforma, a leading provider of software for design and construction firms worldwide, is growing! Creating software that makes a difference in the AEC (architecture, engineering and construction) industry is what drives our company. If you have the drive, confidence, thirst for knowledge, desire to be challenged and technical expertise required, we’d like to see your resume.We’re looking for an experienced iOS mobile app developer that has a passion for working in an Agile environment. You’ll be responsible for developing native mobile applications, collaborating closely with design and product management, and providing technical guidance.Primary Qualifications:Passion for learning new, cutting edge technologies in a fast-moving environmentExcellent problem-solving skillsExperience developing large-scale, well-written mobile appsAbility to write clean and maintainable codeEngaging communication skillsHighly organized and detail-drivenRequirements:3+ years of relevant professional experienceProficiency in developing business-class iOS native appsProficiency in Swift and XCodeExperienced with both iPhone and iPad layoutsKnowledge of related development tools and frameworksFamiliarity with tuning tools and optimization best practicesUse RESTful web servicesDesired, but not required:Reactive (Rx) programming experienceAccessibility best practicesInternationalizationExisting apps in the app storeExperience writing multiple mobile technology applications (Android, iOS)Who We Are:Newforma’s intuitive project information management (PIM) technology promotes collaboration between individuals, project teams and across the enterprise in the AECO industry. By building a more connected project environment, Newforma optimizes the processes by which critical information is captured, shared and managed, and delivers a more intelligent and profoundly productive experience for architects, designers, builders, owners, and the full construction team.Equal Opportunity Employer:Qualified applicants will receive consideration without regarding to age, race, color, religion, sex, sexual orientation, disability, or national origin. Must be eligible to work the United Stated and pass a background check."
React Native Mobile App Developer,"Hamilton, ON",Nix Sensor Ltd.,NaN,30+ days ago,"About Nix Sensor Ltd.We’re a team of creators and a band of problem solvers. We expertly build ground-breaking products for color professionals and everyday consumers that put the world of color in the palm of their hands. We do it with the magic (ahem, the science) of our Nix Color Sensor. Like the eyedropper tool in real life, it takes real-world color and makes it digital, empowering customers to move through their projects with confidence, accuracy and ease.Our tools are engineered with life in mind, ensuring that our users can take their Nix wherever they find color, or need to measure it. Whether that’s in a photography studio in L.A. or an egg farm in rural Germany, our products are being used around the globe and across the color spectrum.About YouInterested in joining our team of thinkers, makers and creators? You’re in the right the right place if:You appreciate both the left and right side of the brain. We merge science with creativity in everything we do, and we hope you like to do the same.You design with impact. We strive to build tools that make life and workflows more efficient, giving our customers the ability to bring theirA-game to every project.You want to inspire. At Nix, you’ll have a hand in building products that are meant to enable, empower and enlighten.You are not afraid to ask questions. Confused or think there might be a better way to do something? Dig deeper, ask questions, and explore. We encourage each and every team member to tap into their inner scientist so we can continue to build better.What will you do?Help to build beautifully designed apps that work with our award-winning hardwareWork with our designers and product team to create a seamless user experienceOwn our core apps and build a foundation on which to create other tools for our usersIterate, test, and release products as quickly as we can gather feedback from our users and customersWhat will you need?Experience building iOS and Android appsExperience with React NativeThe ability to work in a fast paced, collaborative environment, alongside the rest of our dynamic teamWhat makes Nix a great place to work?We want you to grow with us. This is a dynamic opportunity to join and build the next great Canadian success story. Ranked No. 33 on the 2018 Startup 50 of Canada’s Top New Growth Companies by Canadian Business and Maclean’s, we’re a stable and innovative start-up that continues to grow year-over-year.Work with the best. The brains at Nix are inspiring, motivating and dedicated to building innovative products that shake up the color industry.We’re based in a beautiful, bustling and ever-evolving city. Nix is located in Hamilton, Ontario. Our office is accessible via public transit and is close to countless restaurants, bars, parks, schools and more, plus we offer free parking.We follow the start-up rule book. (So, don’t worry – we’ve got your snack needs covered.)"
NaN,"Ottawa, ON",Natural Partners Fullscript,NaN,11 days ago,"Fullscript is looking for a driven Junior Web Developer to join our Engineering Team. This role will report to our Developer Experience Manager - Stephanie Ade.About FullscriptFullscript is a health tech startup that has created the #1 platform for practitioners to dispense professional-grade nutritional supplements to their patients. We are a diverse and dynamic team of talented people who are passionate about functional medicine: a personalized approach to health care that treats the root cause of ailments rather than just mitigating symptoms. Our dedication to creating the best solution for our customers is embedded in our culture. We are obsessed with user experience, and we go above and beyond to make dispensing wellness easy.About the roleThe ideal candidate will play a pivotal role in the company’s digital strategies and services. As a critical member of our Engineering Team who will be responsible for our external-facing marketing assets, this role requires a solutions-oriented person with technical knowledge in web development to continuously improve our website and digital marketing campaigns.We’re growing quickly, like to aim high, and have an amazing, dynamic team that wants a driven developer LIKE YOU to help us achieve our goals! We also value hands-on experience, so expect a task on your first day of work! This is how we like building software: https://brand.fullscript.com/developer-handbook.html. If you share our values, we’d be excited to talk with you!This is a full-time position based in Ottawa, Ontario.The impact you will have:Work closely with the Marketing Team and several other departments to own the maintenance and growth of Fullscript’s marketing website and site architecture.Create, analyze, and optimize landing pages.Analyze our analytics to identify opportunities and optimize marketing effectiveness.Ensure compatibility across multiple devices and browsers.What we are looking for:Someone who enjoys challenging themselves and loves to see a project through from beginning to end.2+ years of experience with Wordpress.2+ years of experience with JavaScript, HTML, PHP, and CSS.Able to work across teams to deliver projects on budget and on deadline.Nice to have:Experience with Google AnalyticsExperience with Google Tag ManagerExperience with WCAG standardsUnderstanding of the Wordpress template hierarchy.What we offerFullscript is for smart, passionate people who have a great attitude and want to have an impact. We are growing rapidly and are already profitable, but there’s still a huge amount to do. At Fullscript, you will be able to see the impact of your work from day one.We offer all of our employees the standard good stuff: competitive pay, training budget, fully stacked health insurance, access to our Fullscript products, generous PTO, paid holiday, and we’ll help you set up a great home office.If you are unsure if your experience level matches, please still apply.We can’t wait to read your application!To apply, please include some examples of your work (such as a portfolio or personal website).The Natural Partners Fullscript StoryNatural Partners Fullscript is a disruptive healthcare technology and service company. Our portfolio brings together the best nutritional supplement wholesale business with the premier online supplement dispensing platform. We provide innovative solutions for integrative practitioners and patients who seek a personalized experience and a holistic approach to healthcare.In the summer of 2018, Natural Partners, a national player in wholesale supplement distribution, merged with Fullscript, the creators of the first online supplement dispensing platform, to create Natural Partners Fullscript. Since then, NPFS has been the preferred partner of over 300+ professional supplement brands, EHRs such as Power2Practice and Jane, and major influencers in integrative health including Dr. Josh Axe and Dr. Aviva Romm.As the market leaders, with a track record for incredible results and a target of 100% annualized growth, we go above and beyond to make dispensing wellness easy.Want to learn more? check us out - www.fullscript.com and www.naturalpartners.com or find us on social media.Natural Partners Fullscript is committed to diversity in its workforce and is proud to be an equal opportunity employer. We are excited to work with talented people, period.Our team handles a lot of sensitive information, which means we require all candidates that receive and accept employment offers to complete a background check before being hired.We are also committed to providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please send an email to either accommodations@fullscript.com or accommodations@naturalpartners.com and let us know the nature of your request and your contact information."
NaN,"Toronto, ON",Artifakt Digital,NaN,3 days ago,"We’re currently looking for a Front End WordPress Developer to join our team on a full-time basis. The ideal candidate will have a deep understanding of front-end web development and building WordPress themes in an agile work environment.Under the direction of our Senior Developer, you’ll be working directly with our team to build completely custom WordPress websites that are modern, clean, and focused on ease-of-use for our clients and their clientele.Does this sound like you?You have a strong background working with WordPress, specifically custom and advanced theme developmentYou have a background working with HTML and CSSYou have a background working with BootstrapYou have a background working with Javascript and JQueryThe constant desire to be collaborative and work closely with everyone on our teamThe willingness to learn, take, and give direction when requiredThe ability to work on tight deadlinesComfort or familiarity with working and collaborating on a remote basisHere's what we can offer you:Training, coaching and support so that you're set up for success in this role.A casual, friendly, open, and easy-going work environment as part of a strong, supportive team.A flexible schedule and a healthy approach towards maintaining a positive work/life balance. Including working remotely 95% of the time.A generous and flexible time-off policy made up of mandatory and unlimited vacation and personal days.Comprehensive health benefits.Funding towards personal growth initiatives.Fun, offsite monthly team building activities.If you're interested, please apply on our website right here: https://www.artifaktdigital.com/join-the-team/Benefits:Dental careExtended health careVision careJob Type: Full-timeExperience:front end wordpress development: 3 years (Required)"
Software Developer - Entry Level,"Montréal, QC",MThree Consulting,"$55,000 - $62,000 a year",4 days ago,"The Opportunity:Here at mthree, we pair talented graduates with leading global businesses. We’re always on the lookout for ambitious graduates to join the mthree Alumni Graduate Program, kick-starting your tech career within an entry-level Developer role and working onsite with a leading fintech organization in Montreal.Our 24-month graduate program begins with 4-8 weeks of paid training and career coaching, where you’ll learn everything you need to hit the ground running as a software developer.After you've completed the paid training, you'll have the opportunity to fast-track your career at a global investment bank or leading tech company.What you’ll do:If successful, you’ll work with one of our clients as a software developer, designing, developing and maintaining complex applications in a global team environment.Most commonly using Java, C++, Python or C#, software developers work with key stakeholders across the business to create, test and improve the applications that play a fundamental role in the company’s daily operations. You will work across the software development lifecycle, gaining essential grounding in handling requirements, support and maintenance, while following an Agile methodology to constantly strive for better results and becoming indispensable to your teamWhat you need:Ø B.S., Computer Science or within a STEM related subjectØ 3.0 GPA or higherØ OOP development experienceØ Solid software engineering principles (data structures, OO, design patterns, multithreading)Ø Good trouble shooting and debugging skillsØ Working knowledge of database concepts (SQL, stored procs, schema design)Ø Understanding of the formal software development lifecycle (SDLC)Ø Understanding of test-driven developmentWhat you’ll receive:Ø Fully paid, in-depth and interactive training with a diverse group of like-minded graduates, delivered by experts with working knowledge of the field.Ø A competitive graduate salaryØ Pay increases every 6 monthsØ A flexible benefits package including gym membershipØ Ongoing training and pastoral careØ Invaluable industry experience and the opportunity to start a career in a desirable and competitive industryJob Type: Full-timeSalary: $55,000.00 to $62,000.00 /yearExperience:Software Development: 1 year (Preferred)java: 1 year (Required)Object Oriented Programming: 1 year (Required)Education:Bachelor's Degree (Preferred)Language:French (Preferred)"
Full Stack Developer Co-op,"Victoria, BC",FreshWorks Studio Inc.,NaN,19 days ago,"Role Type:Summer Co-op Work Term starting in May 2020 (8-month preference, even better if work term to permanent is possible.)Posting will close on February 18 at 10am Pacific TimeTHE ROLEWe're looking for a talented Full Stack Developer Co-op to join our Web Development team at our Head Office in Victoria. Your primary responsibility is acting as part of a collaborative agile team to plan, design, develop, test, and deploy web applications up to FreshWorks’ standards of excellence.As a Full Stack Developer, preferably with one or more prior work-terms under your belt, you have experience working with modern JS frameworks, like React or Vue.js, and have a good understanding of SQL database best practices, particularly using PostgreSQL. You will consume and create custom RESTful APIs using languages such as Typescript, Node.js, or PHP.As a Full Stack Developer, you are preferably comfortable with Docker and working from the command line. Following GitFlow best practices and writing automated tests is part of your daily routine.KEY RESPONSIBILITIESAnalyze business problems of our clients and help formulate the technology roadmap;Identify and propose technology solutions viable for the client needs;Collaborate with other web experts and address business, technical, and logistical needs;Participate in web app development, deployment and migration;Prepare technical documents and research required functional specifications.Act as a collaborative member of the agile team.BASIC QUALIFICATIONSNeed to Haves:Completed registration in an accredited Canadian post-secondary co-op program;Experience with front end development with HTML, CSS, and Javascript;Experience with JavaScript frameworks such as React, AngularJS or Vue.js;Experience with server-side languages such as JavaScript (Node.JS), PHP or Python;Strong understanding of computer science fundamentals, algorithms, database models, data structures, and design patterns;Understanding and implementing OOP concepts;Understanding of RESTful best practices.Nice to Haves:Priority will be given to those in their last terms of school with availability to complete an 8-month term; even better if you’re available for permanent work following this work term;Experience with Typescript;Experience with NoSQL databases;Experience writing automated tests (unit, integration, etc.);Experience writing automation to ease the build and deployment process, such as writing/editing Makefiles, Dockerfiles, and NPM script commands;Experience with using deployment tools on AWS, Google Cloud or equivalent;Basic understanding of containerization as a concept, and experience using Docker;Experience working in an Agile environment.When it comes to hiring, all relationships are (hopefully!) longterm relationships.Please note that preference will be given to candidates that are available for an 8-month work term, or better yet, have the capacity to continue on as a full-time permanent employee after your co-op work term.Please clearly state 1) your availability in your cover letter and state 2) which accredited Canadian post-secondary co-op program you are a part of; applications without this information will not be considered. Additionally, please attach a copy of your unofficial transcript to your cover letter.Tip: Submit your documents in PDF format to ensure that there are no formatting errors in our viewer.Click here[http://freshworks.io/careers] to learn more about our benefits and culture."
NaN,"Toronto, ON",PointClickCare,NaN,2 days ago,"PointClickCare is the leading cloud-based software provider for the senior care market in North America. Driven by a passion for innovation and technology, we build innovative healthcare technology for seniors and their caregivers that improve their quality of life and well-being on a daily basis. Recently named one of Deloitte’s fastest growing technology companies and Canada’s best managed companies, PointClickCare provides vast opportunities and a great culture for our employees. We believe work is much more meaningful when you're doing it with a higher purpose. For more information on PointClickCare, please connect with us on Glassdoor and LinkedIn.Senior Front End Developer (Contract) [ Senior Software Engineer ]PointClickCare is the leading cloud-based software provider for the senior care market in North America. Driven by a passion for innovation and technology, we’re building solutions that have a true impact on people’s lives. Recently named one of Deloitte’s fastest growing technology companies and Canada’s best managed companies, PointClickCare provides vast opportunities and a great culture for our employees. PointClickCare is a fertile environment to advance your career while performing meaningful work with great people.Position Summary:Reporting to the Engineering Manager, this position will be part of building cutting edge user interfaces while incorporating the latest web techniques and best practices. As part of a feature scrum team, you will shape, implement, design and architect our enterprise web application.Key Responsibilities:- Your bread and butter will be building robust, re-usable and scalable front end applications and/or components in the framework of the given project - React/Vue/etc.Provide expert development skills using HTML, CSS, JavaScript and chosen front end framework, as needed, under the directions of the Architect(s)Work closely with your scrum team to build and deliver new products and be responsible for the successful project deliveryBe the expert with JavaScript and Front-End frameworks, but you will also be part of the back end design, database, and testing discussions as well.You may be asked to help out with other areas of full stack development such as APIs or back end development (this will depend on existing skill set).Participate and team meetings and provide UI oversight when required.Required Experience:Strong hands-on experience in the design and development of enterprise level UI architecture.Experience with JavaScript frameworks and libraries like Node, React, Angular and knowledge of how to do responsive design for web, mobile or hybrid applicationsCoding expertise in HTML, CSS, JavaScript and jQueryWorking knowledge of Java, JSPs, APIs, DatabasesA solid knowledge of modern web development paradigmsIn-depth understanding of basic UI principals and work-flow designAbility to clearly articulate technical direction both written and orallyWorking at PointClickCare goes beyond the resume, because the work we perform makes a true difference in people’s lives. We build innovative healthcare technology for seniors and their caregivers that improve their quality of life and well-being on a daily basis. We believe work is so much more meaningful when you’re doing it with a higher purpose.For more information on PointClickCare, please visit us on Glassdoor and LinkedInJob LocationToronto, ONIt is the policy of PointClickCare to ensure equal employment opportunity without discrimination or harassment on the basis of race, religion, national origin, status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law. PointClickCare welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.When you apply for a position, your information is processed and stored with Lever, in accordance with Lever’s Privacy Policy. We use this information to evaluate your candidacy for the posted position. We also store this information, and may use it in relation to future positions to which you apply, or which we believe may be relevant to you given your background. When we have no ongoing legitimate business need to process your information, we will either delete or anonymize it. If you have any questions about how PointClickCare uses or processes your information, or if you would like to ask to access, correct, or delete your information, please contact PointClickCare’s human resources team here recruitment@pointclickcare.com"
